	Cmb_Num	Cmb_ID	CC_A	CC_B	Cmb_Rare	Res	Res_Rare	BA_0O	BA_1O	BA_2O	BD_0O	BD_1O	BD_2O
	7,001	1,003	Adventure	Angel	3	Angel of Valor	4	15	15	18	10	10	13
	7,002	1,004	Adventure	Anger	3	Barbarian	4	17	17	20	8	8	11
	7,003	1,005	Adventure	Apocalypse	3	Tarrasque	4	16	16	19	9	9	12
	7,004	1,006	Adventure	Arachnid	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,005	1,007	Adventure	Arcade	3	Crypt Explorer	4	18	18	21	6	6	9
	7,006	1,008	Adventure	Ash	3	Magical Mayhem	3	10	13	15	5	8	10
	7,007	1,009	Adventure	Atomic Aftermath	3	Tarrasque	4	16	16	19	9	9	12
	7,008	1,01	Adventure	Bat	3	Nightmarish Swarms	3	14	17	19	5	8	10
	7,009	1,011	Adventure	Bear	3	Bear Owl	4	14	14	17	10	10	13
	7,01	1,012	Adventure	Beauty	3	Princess	3	10	13	15	10	13	15
	7,011	1,013	Adventure	Bird	3	Bear Owl	4	14	14	17	10	10	13
	7,012	1,014	Adventure	Blob	3	Mimic	4	17	17	20	8	8	11
	7,013	1,015	Adventure	Blood	3	Turtle Sorcerer	4	13	13	16	10	10	13
	7,014	1,016	Adventure	Bone	3	Abyss Knight	4	16	16	19	8	8	11
	7,015	1,017	Adventure	Camouflage	3	Mimic	4	17	17	20	8	8	11
	7,016	1,018	Adventure	Card	3	Familiar Companions	3	3	6	8	15	18	20
	7,017	1,019	Adventure	Cartoon	3	Adventure Kid	4	13	13	16	12	12	15
	7,018	1,02	Adventure	Cat	3	Familiar Companions	3	3	6	8	15	18	20
	7,019	1,021	Adventure	Celebration	3	The Party	4	3	3	6	19	19	22
	7,02	1,022	Adventure	Chinchilla	3	Planar Privateer	3	19	22	24	1	4	6
	7,021	1,023	Adventure	Cursed	3	Gothic Horror	4	12	12	15	9	9	12
	7,022	1,024	Adventure	Darkness	3	Gothic Horror	4	12	12	15	9	9	12
	7,023	1,025	Adventure	Death	3	Mimic	4	17	17	20	8	8	11
	7,024	1,026	Adventure	Demon	3	Warlock	3	9	12	14	7	10	12
	7,025	1,028	Adventure	Destruction	3	Magical Mayhem	3	10	13	15	5	8	10
	7,026	1,029	Adventure	Dog	3	Familiar Companions	3	3	6	8	15	18	20
	7,027	1,03	Adventure	Dragon	3	Draconic Deity	4	19	19	22	7	7	10
	7,028	1,031	Adventure	Earth	3	The Ranger	4	16	16	19	7	7	10
	7,029	1,032	Adventure	Elf	3	The Party	4	3	3	6	19	19	22
	7,03	1,033	Adventure	Energy	3	Alchemist	4	16	16	19	8	8	11
	7,031	1,034	Adventure	Extraterrestrial	3	Planar Privateer	3	19	22	24	1	4	6
	7,032	1,035	Adventure	Fairy	3	The Party	4	3	3	6	19	19	22
	7,033	1,036	Adventure	Fairy Tale	3	Happily Ever After	3	0	3	5	20	23	25
	7,034	1,037	Adventure	Fire	3	Magical Mayhem	3	10	13	15	5	8	10
